Rk,Player,Nation,Pos,Squad,AGE,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90
59,Mateo Bajamich,ar ARG,"FW,MF",Atlé Tucumán,25.75342466,1999,15,7,706,7.8,1,1,2,1,0,0,0,0,1.9,1.9,0.7,2.5,16,27,54,0.13,0.13,0.25,0.13,0.25,0.24,0.08,0.32,0.24,0.32
60,Kevin Balanta,co COL,DF,Defensa y Just,28.01917808,1997,5,5,421,4.7,0,0,0,0,0,0,2,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0
61,Adrián Balboa,uy URU,FW,Racing Club,31.29041096,1994,13,5,556,6.2,3,0,3,3,0,0,2,0,3.6,3.6,0.1,3.6,2,9,25,0.49,0,0.49,0.49,0.49,0.58,0.01,0.59,0.58,0.59
62,Franco Baldassarra,ar ARG,MF,Platense,26.59726027,1998,4,1,155,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,5,3,0,0,0,0,0,0.05,0,0.05,0.05,0.05
63,Éver Banega,ar ARG,MF,Newell's OB,36.84931507,1988,15,14,1246,13.8,1,4,5,1,0,1,7,0,1.5,0.7,4.7,5.4,33,131,25,0.07,0.29,0.36,0.07,0.36,0.11,0.34,0.45,0.05,0.39
64,Nahuel Banegas,ar ARG,DF,Tigre,28.57808219,1996,14,14,1205,13.4,0,1,1,0,0,0,5,0,1,1,1.8,2.8,26,67,84,0,0.07,0.07,0,0.07,0.08,0.14,0.21,0.08,0.21
65,Juan Barbieri,ar ARG,FW,Ind. Rivadavia,28.63013699,1996,11,3,440,4.9,2,1,3,2,0,0,1,0,1.2,1.2,0.2,1.4,3,9,24,0.41,0.2,0.61,0.41,0.61,0.24,0.04,0.29,0.24,0.29
66,David Barbona,ar ARG,"MF,FW",Defensa y Just,30.19726027,1995,8,1,231,2.6,0,0,0,0,0,0,0,0,0.3,0.3,1,1.3,14,27,17,0,0,0,0,0,0.13,0.39,0.52,0.13,0.52
67,Juan Barinaga,ar ARG,DF,Boca Juniors,24.56712329,2000,3,2,204,2.3,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,7,6,12,0,0,0,0,0,0.04,0.19,0.23,0.04,0.23
68,Williams Barlasina,ar ARG,GK,Aldosivi,26.84931507,1998,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Daniel Barrea,ar ARG,"FW,MF",Godoy Cruz,23.78630137,2001,10,5,448,5,0,0,0,0,0,0,3,0,1.3,1.3,0.6,2,7,12,35,0,0,0,0,0,0.27,0.13,0.4,0.27,0.4
70,Diego Barrera,ar ARG,"MF,FW",Cen. Córdoba–SdE,20.86849315,2004,11,1,339,3.8,1,0,1,1,0,0,0,0,0.9,0.9,1,1.8,18,10,49,0.27,0,0.27,0.27,0.27,0.23,0.26,0.49,0.23,0.49
71,Alan Barrionuevo,ar ARG,DF,Tigre,28.3369863,1997,3,1,96,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
72,Martín Barrios,uy URU,MF,Racing Club,26.27671233,1999,13,3,438,4.9,1,0,1,1,0,0,1,0,0.3,0.3,0.3,0.6,6,14,11,0.21,0,0.21,0.21,0.21,0.07,0.06,0.13,0.07,0.13
73,Nahuel Barrios,ar ARG,"MF,FW",Barracas Central,26.99452055,1998,15,9,664,7.4,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,30,47,29,0,0,0,0,0,0.04,0.06,0.1,0.04,0.1
74,Rafael Barrios,ar ARG,DF,Barracas Central,31.95068493,1993,10,3,364,4,0,0,0,0,0,0,3,0,0.6,0.6,0,0.6,9,3,25,0,0,0,0,0,0.14,0,0.14,0.14,0.14
75,Bautista Barros Schelotto,ar ARG,DF,Platense,25.30684932,2000,6,3,405,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,14,9,0,0,0,0,0,0.01,0,0.01,0.01,0.01
76,Damián Batallini,ar ARG,"MF,FW",Instituto,28.8630137,1996,12,10,717,8,2,0,2,2,0,0,3,0,1.1,1.1,0.9,2,17,14,46,0.25,0,0.25,0.25,0.25,0.14,0.12,0.25,0.14,0.25
77,Rodrigo Battaglia,ar ARG,"DF,MF",Boca Juniors,33.81369863,1991,12,9,907,10.1,1,0,1,1,0,0,4,0,1,0.8,0,0.8,10,23,3,0.1,0,0.1,0.1,0.1,0.09,0,0.1,0.08,0.08
78,Juan Bautista Cejas,ar ARG,"FW,MF",Godoy Cruz,27.16438356,1998,2,1,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0.03,0.03,0,0.03
79,Jonathan Bay,ar ARG,DF,Platense,32.25479452,1993,6,6,481,5.3,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,5,8,5,0,0,0,0,0,0.01,0.07,0.08,0.01,0.08
80,Tomás Belmonte,ar ARG,MF,Boca Juniors,26.93972603,1998,11,10,857,9.5,0,0,0,0,0,0,3,0,0.6,0.6,0.1,0.6,1,31,13,0,0,0,0,0,0.06,0.01,0.07,0.06,0.07
81,Gastón Benavídez,ar ARG,DF,Talleres,29.53150685,1995,11,10,886,9.8,2,1,3,2,0,0,0,0,1,1,0.7,1.7,21,42,54,0.2,0.1,0.3,0.2,0.3,0.1,0.07,0.18,0.1,0.18
82,Gastón Benedetti,ar ARG,DF,Estudiantes–LP,24.10136986,2001,9,6,541,6,0,2,2,0,0,0,5,1,0.3,0.3,0.8,1.1,15,40,39,0,0.33,0.33,0,0.33,0.04,0.14,0.18,0.04,0.18
83,Nicolás Benegas,ar ARG,FW,Deportivo Riestra,29.17808219,1996,16,11,912,10.1,1,2,3,1,0,0,3,0,2.1,2.1,1.9,4,12,34,54,0.1,0.2,0.3,0.1,0.3,0.21,0.18,0.4,0.21,0.4
84,Rubén Bentancourt,uy URU,FW,Arg Juniors,32.17534247,1993,5,0,99,1.1,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,1,3,9,0,0,0,0,0,0.56,0,0.56,0.56,0.56
85,Lucas Besozzi,ar ARG,FW,Tigre,22.28219178,2003,5,0,47,0.5,1,0,1,1,0,0,1,0,0.7,0.7,0.3,1,5,3,12,1.91,0,1.91,1.91,1.91,1.35,0.54,1.89,1.35,1.89
86,Juan Bisanz,ar ARG,"FW,MF",Banfield,23.68493151,2001,10,6,513,5.7,0,0,0,0,0,0,2,0,0.8,0.8,0.6,1.4,8,14,29,0,0,0,0,0,0.14,0.11,0.25,0.14,0.25
87,Lautaro Blanco,ar ARG,DF,Boca Juniors,26.20547945,1999,11,11,969,10.8,0,2,2,0,0,0,3,0,0.3,0.3,1.8,2.2,32,54,87,0,0.19,0.19,0,0.19,0.03,0.17,0.2,0.03,0.2
88,Pablo de Blasis,ar ARG,MF,Gimnasia–LP,37.24657534,1988,12,8,691,7.7,1,0,1,0,1,1,3,0,0.9,0.1,0.2,0.3,6,53,18,0.13,0,0.13,0,0,0.12,0.03,0.15,0.01,0.04
89,Lucas Blondel,ch SUI,"DF,MF",Boca Juniors,28.63835616,1996,9,7,545,6.1,0,1,1,0,0,0,1,0,0.5,0.5,0.1,0.6,9,22,34,0,0.17,0.17,0,0.17,0.08,0.02,0.1,0.08,0.1
90,Roberto Bochi,ar ARG,MF,Aldosivi,35.38356164,1989,14,10,944,10.5,0,1,1,0,0,0,4,0,0,0,0.9,1,2,24,5,0,0.1,0.1,0,0.1,0,0.09,0.09,0,0.09
91,Luciano Boggio,it ITA,MF,Lanús,26.15342466,1999,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
92,Enrique Bologna,ar ARG,GK,Defensa y Just,43.22191781,1982,16,16,1440,16,0,0,0,0,0,0,2,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
93,Matías Borgogno,ar ARG,GK,San Martín de San Juan,26.70410959,1998,16,16,1440,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Miguel Borja,co COL,FW,River Plate,32.27123288,1993,16,8,920,10.2,5,1,6,4,1,2,3,0,7.8,6.2,1.5,7.7,14,21,70,0.49,0.1,0.59,0.39,0.49,0.76,0.15,0.91,0.61,0.76
95,Benjamín Bosch,ar ARG,MF,Vélez Sarsfield,19.88767123,2005,2,1,106,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,6,11,0,0,0,0,0,0.07,0,0.07,0.07,0.07
96,Sebastián Boselli,uy URU,DF,Estudiantes–LP,21.41643836,2003,13,11,1044,11.6,0,0,0,0,0,0,3,0,0.3,0.3,0,0.3,7,42,5,0,0,0,0,0,0.03,0,0.03,0.03,0.03
97,Rubén Botta,ar ARG,MF,Talleres,35.25753425,1990,12,8,638,7.1,0,1,1,0,0,0,5,0,0.8,0.8,1.1,1.9,19,50,59,0,0.14,0.14,0,0.14,0.11,0.16,0.26,0.11,0.26
98,Tomás Bottari,ar ARG,MF,Ind. Rivadavia,24.02465753,2001,13,9,744,8.3,0,0,0,0,0,0,3,0,0,0,0,0,3,26,2,0,0,0,0,0,0,0,0,0,0
99,Walter Bou,ar ARG,FW,Lanús,31.69315068,1993,14,12,1022,11.4,3,0,3,2,1,1,0,0,3.6,2.8,0.6,3.5,6,21,77,0.26,0,0.26,0.18,0.18,0.32,0.06,0.37,0.25,0.3
100,Agustín Bouzat,ar ARG,MF,Vélez Sarsfield,31.10410959,1994,15,14,1220,13.6,0,2,2,0,0,0,6,0,0.2,0.2,1.4,1.6,25,76,26,0,0.15,0.15,0,0.15,0.01,0.1,0.12,0.01,0.12
101,Mariano Bracamonte,ar ARG,DF,Deportivo Riestra,26.03013699,1999,12,7,583,6.5,0,0,0,0,0,0,4,1,0.1,0.1,0.5,0.5,6,11,6,0,0,0,0,0,0.01,0.07,0.08,0.01,0.08
102,Malcom Braida,ar ARG,"FW,MF",San Lorenzo,27.96712329,1997,15,15,1330,14.8,2,1,3,2,0,0,2,0,1.9,1.9,2,3.9,27,44,88,0.14,0.07,0.2,0.14,0.2,0.13,0.14,0.26,0.13,0.26
103,Moisés Brandán,ar ARG,DF,Atlé Tucumán,25.23561644,2000,6,3,310,3.4,0,0,0,0,0,0,0,0,0,0,0,0,2,10,9,0,0,0,0,0,0,0,0,0,0
104,Agustin Bravo,ar ARG,"DF,FW",Rosario Central,23.98356164,2001,3,2,198,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Gonzalo Bravo,ar ARG,"FW,MF",Deportivo Riestra,34.96438356,1990,4,1,128,1.4,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1,3,5,0,0,0,0,0,0.32,0,0.32,0.32,0.32
106,Néstor Breitenbruch,ar ARG,DF,Aldosivi,29.64109589,1995,15,15,1339,14.9,0,0,0,0,0,0,4,0,0.2,0.2,0.2,0.4,4,41,3,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03
107,Leandro Brey,ar ARG,GK,Boca Juniors,22.61917808,2002,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Norberto Briasco,am ARM,"FW,MF",Gimnasia–LP,29.17808219,1996,7,2,238,2.6,0,0,0,0,0,0,1,0,0.6,0.6,0,0.6,2,3,14,0,0,0,0,0,0.21,0,0.21,0.21,0.21
109,Elías Brito,ar ARG,DF,Lanús,19.74520548,2005,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,Miguel Brizuela,ar ARG,DF,Atlé Tucumán,28.32876712,1997,15,11,1067,11.9,1,0,1,1,0,0,3,0,0.7,0.7,0.1,0.8,4,34,12,0.08,0,0.08,0.08,0.08,0.06,0.01,0.06,0.06,0.06
111,Manuel Brondo,ar ARG,"FW,MF",Arg Juniors,23.1890411,2002,4,0,67,0.7,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,1,1,4,0,0,0,0,0,0.48,0,0.48,0.48,0.48
112,Jorge Broun,ar ARG,GK,Rosario Central,38.94246575,1986,14,14,1260,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Facundo Bruera,ar ARG,"FW,MF",Barracas Central,26.61369863,1998,16,4,643,7.1,5,1,6,5,0,0,1,0,3.1,3.1,0.5,3.6,6,16,27,0.7,0.14,0.84,0.7,0.84,0.44,0.07,0.51,0.44,0.51
114,Valentín Burgoa,ar ARG,"MF,FW",Sarmiento,25.32054795,2000,15,5,615,6.8,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.1,14,18,35,0.15,0,0.15,0.15,0.15,0.12,0.05,0.17,0.12,0.17
115,Esteban Burgos,ar ARG,DF,San Martín de San Juan,33.31780822,1992,9,9,733,8.1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.5,1,30,3,0,0,0,0,0,0.05,0,0.06,0.05,0.06
116,Joaquín Burgos,ar ARG,"FW,MF",Estudiantes–LP,20.3890411,2004,10,6,475,5.3,2,1,3,2,0,0,1,0,0.7,0.7,1.1,1.8,17,18,52,0.38,0.19,0.57,0.38,0.57,0.13,0.21,0.33,0.13,0.33
117,Javier Burrai,ec ECU,GK,Talleres,34.56986301,1990,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0.16,0.16,0,0.16
118,Fabricio Bustos,ar ARG,DF,River Plate,29.01917808,1996,7,4,474,5.3,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,7,31,41,0,0,0,0,0,0.03,0.08,0.11,0.03,0.11
119,Nahuel Bustos,ar ARG,"FW,MF",Talleres,26.83561644,1998,12,10,739,8.2,0,0,0,0,0,1,3,0,2.6,1.8,0.2,2.1,4,10,31,0,0,0,0,0,0.34,0.03,0.37,0.24,0.27
