Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G_PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls_p90,Ast_p90,G+A_p90,G_minus_PK_p90,G+A_minus_PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90
12,Betis,es La Liga,35,28.2,52.2,33,363,2970,33,48,31,79,42,6,9,67,4,50.1,43.1,34.3,77.4,587,1263,1.45,0.94,2.39,1.27,2.21,1.52,1.04,2.55,1.31,2.34
13,Bochum,de Bundesliga,26,28.8,45.3,31,341,2790,31,29,21,50,28,1,3,67,2,38.3,35.8,27.4,63.2,339,977,0.94,0.68,1.61,0.9,1.58,1.24,0.88,2.12,1.16,2.04
14,Bologna,it Serie A,30,27,58,34,374,3060,34,51,38,89,45,6,7,52,3,45.1,39.6,31.5,71,585,1306,1.5,1.12,2.62,1.32,2.44,1.33,0.93,2.25,1.16,2.09
15,Bournemouth,eng Premier League,29,25.9,47.7,34,374,3060,34,52,38,90,46,6,7,88,2,59.6,54,40.8,94.8,678,1332,1.53,1.12,2.65,1.35,2.47,1.75,1.2,2.95,1.59,2.79
16,Brentford,eng Premier League,28,26.6,47.6,34,374,3060,34,58,39,97,53,5,5,53,1,50.9,47.1,37.3,84.4,532,1197,1.71,1.15,2.85,1.56,2.71,1.5,1.1,2.59,1.38,2.48
17,Brest,fr Ligue 1,29,28.9,47.9,31,341,2790,31,49,30,79,42,7,9,62,3,42.3,35.2,27,62.3,421,991,1.58,0.97,2.55,1.35,2.32,1.36,0.87,2.24,1.14,2.01
18,Brighton,eng Premier League,31,25.6,52.5,34,374,3060,34,54,36,90,49,5,5,73,3,52,48.2,36.3,84.5,726,1380,1.59,1.06,2.65,1.44,2.5,1.53,1.07,2.6,1.42,2.49
19,Cagliari,it Serie A,26,27.4,45.5,34,374,3060,34,33,26,59,30,3,3,62,3,39.1,36.7,29,65.7,469,1046,0.97,0.76,1.74,0.88,1.65,1.15,0.85,2,1.08,1.93
20,Celta Vigo,es La Liga,30,27.8,53.8,33,363,2970,33,49,35,84,42,7,8,76,5,46.5,40.2,33.3,73.5,605,1471,1.48,1.06,2.55,1.27,2.33,1.41,1.01,2.42,1.22,2.23
21,Chelsea,eng Premier League,29,24.4,58.3,34,374,3060,34,57,44,101,54,3,4,94,1,62.1,59,48.1,107.1,783,1471,1.68,1.29,2.97,1.59,2.88,1.83,1.42,3.24,1.73,3.15
22,Como,it Serie A,38,27,54.2,34,374,3060,34,39,34,73,39,0,2,81,6,40.7,39.2,32.4,71.6,593,1194,1.15,1,2.15,1.15,2.15,1.2,0.95,2.15,1.15,2.11
23,Crystal Palace,eng Premier League,29,27,43,34,374,3060,34,41,32,73,39,2,3,75,4,51.3,49,39.2,88.2,450,1036,1.21,0.94,2.15,1.15,2.09,1.51,1.15,2.66,1.44,2.59
24,Dortmund,de Bundesliga,28,27.4,59.2,31,341,2790,31,58,47,105,54,4,5,66,6,55.2,51.3,42.8,94.2,633,1428,1.87,1.52,3.39,1.74,3.26,1.78,1.38,3.16,1.66,3.04
25,Eint Frankfurt,de Bundesliga,26,25.7,49.7,31,341,2790,31,62,41,103,59,3,5,49,1,60.1,56.4,41,97.5,546,1238,2,1.32,3.32,1.9,3.23,1.94,1.32,3.26,1.82,3.14
26,Empoli,it Serie A,34,26.2,41.1,34,374,3060,34,26,17,43,24,2,3,58,4,29.5,27.1,21.3,48.4,370,889,0.76,0.5,1.26,0.71,1.21,0.87,0.63,1.49,0.8,1.42
27,Espanyol,es La Liga,27,26,39.4,33,363,2970,33,33,24,57,29,4,4,76,0,27.9,24.8,19.5,44.3,425,865,1,0.73,1.73,0.88,1.61,0.85,0.59,1.44,0.75,1.34
28,Everton,eng Premier League,26,28.8,40.4,34,374,3060,34,31,20,51,29,2,2,73,2,36.3,34.7,27.6,62.3,435,911,0.91,0.59,1.5,0.85,1.44,1.07,0.81,1.88,1.02,1.83
29,Fiorentina,it Serie A,34,27.1,49.6,34,374,3060,34,51,35,86,45,6,8,70,2,42.3,36.1,29.9,66,543,1098,1.5,1.03,2.53,1.32,2.35,1.24,0.88,2.12,1.06,1.94
30,Freiburg,de Bundesliga,26,28,49.2,31,341,2790,31,42,32,74,42,0,4,51,2,41.2,38.1,27.7,65.8,418,1062,1.35,1.03,2.39,1.35,2.39,1.33,0.89,2.22,1.23,2.12
31,Fulham,eng Premier League,26,28.8,52.3,34,374,3060,34,49,42,91,46,3,4,70,2,45.2,42,34.9,76.9,710,1409,1.44,1.24,2.68,1.35,2.59,1.33,1.03,2.35,1.24,2.26
32,Genoa,it Serie A,35,27,45.8,34,374,3060,34,28,21,49,28,0,2,66,1,33.9,32.3,24.4,56.6,415,907,0.82,0.62,1.44,0.82,1.44,1,0.72,1.71,0.95,1.67
33,Getafe,es La Liga,30,28.4,42.7,33,363,2970,33,31,18,49,26,5,5,97,5,32.9,29.1,20.5,49.5,326,882,0.94,0.55,1.48,0.79,1.33,1,0.62,1.62,0.88,1.5
34,Girona,es La Liga,29,28.2,57.5,33,363,2970,33,39,28,67,35,4,5,71,2,37.2,33.4,26.9,60.3,674,1502,1.18,0.85,2.03,1.06,1.91,1.13,0.82,1.94,1.01,1.83
35,Gladbach,de Bundesliga,26,27.3,49.9,31,341,2790,31,49,36,85,45,4,5,52,3,46.6,42.5,34.2,76.7,467,1015,1.58,1.16,2.74,1.45,2.61,1.5,1.1,2.6,1.37,2.47
36,Heidenheim,de Bundesliga,26,27.7,42.9,31,341,2790,31,33,22,55,28,5,5,63,1,36.9,33,26.1,59.1,466,873,1.06,0.71,1.77,0.9,1.61,1.19,0.84,2.03,1.06,1.91
37,Hellas Verona,it Serie A,32,25.9,38.9,34,374,3060,34,27,17,44,25,2,2,87,9,31,29.4,23,52.4,421,919,0.79,0.5,1.29,0.74,1.24,0.91,0.68,1.59,0.87,1.54
38,Hoffenheim,de Bundesliga,34,27.2,49.1,31,341,2790,31,40,24,64,37,3,3,64,2,39.1,36.8,30.1,66.9,437,1105,1.29,0.77,2.06,1.19,1.97,1.26,0.97,2.23,1.19,2.16
39,Holstein Kiel,de Bundesliga,27,26.3,44.1,31,341,2790,31,45,27,72,42,3,4,73,3,36.3,33.2,24.3,57.5,334,818,1.45,0.87,2.32,1.35,2.23,1.17,0.78,1.96,1.07,1.85
40,Inter,it Serie A,25,30.2,59.6,34,374,3060,34,69,53,122,63,6,7,48,1,60.5,55.4,44.2,99.6,619,1578,2.03,1.56,3.59,1.85,3.41,1.78,1.3,3.08,1.63,2.93
41,Ipswich Town,eng Premier League,32,26.6,40,34,374,3060,34,32,24,56,30,2,2,85,5,30.4,28.9,21.1,49.9,439,816,0.94,0.71,1.65,0.88,1.59,0.9,0.62,1.52,0.85,1.47
42,Juventus,it Serie A,29,25.4,58.1,34,374,3060,34,49,34,83,44,5,5,58,2,45.8,42,31.9,73.9,744,1438,1.44,1,2.44,1.29,2.29,1.35,0.94,2.29,1.23,2.17
43,Las Palmas,es La Liga,30,27.7,50,33,363,2970,33,36,26,62,34,2,3,97,4,32.4,30,23.9,54,424,1044,1.09,0.79,1.88,1.03,1.82,0.98,0.72,1.71,0.91,1.64
44,Lazio,it Serie A,27,27.9,54.6,34,374,3060,34,56,41,97,51,5,6,78,5,49.8,45.4,33.8,79.1,697,1405,1.65,1.21,2.85,1.5,2.71,1.47,0.99,2.46,1.33,2.33
45,Le Havre,fr Ligue 1,31,27.6,42.5,31,341,2790,31,32,18,50,25,7,8,53,4,36.4,30,21.8,51.8,497,965,1.03,0.58,1.61,0.81,1.39,1.18,0.7,1.88,0.97,1.67
46,Lecce,it Serie A,31,26.8,44.1,34,374,3060,34,24,18,42,21,3,4,55,5,32,29.1,22.1,51.2,471,963,0.71,0.53,1.24,0.62,1.15,0.94,0.65,1.59,0.86,1.51
47,Leganés,es La Liga,26,28.6,41.8,33,363,2970,33,30,21,51,25,5,7,72,6,29.2,23.8,17.8,41.6,341,882,0.91,0.64,1.55,0.76,1.39,0.89,0.54,1.43,0.72,1.26
48,Leicester City,eng Premier League,30,27.3,45.4,34,374,3060,34,27,21,48,25,2,3,80,0,29.1,26.9,22.5,49.4,530,989,0.79,0.62,1.41,0.74,1.35,0.86,0.66,1.52,0.79,1.45
49,Lens,fr Ligue 1,33,27.9,54.8,31,341,2790,31,33,20,53,28,5,5,77,8,48.6,45.1,33.6,78.7,536,1369,1.06,0.65,1.71,0.9,1.55,1.57,1.08,2.65,1.45,2.54
50,Leverkusen,de Bundesliga,23,27.8,59.1,31,341,2790,31,64,48,112,62,2,5,54,1,53.2,49.1,39.3,88.4,636,1585,2.06,1.55,3.61,2,3.55,1.72,1.27,2.98,1.58,2.85
51,Lille,fr Ligue 1,27,26.8,57.4,31,341,2790,31,49,28,77,43,6,9,74,2,50.3,43.9,33,76.9,609,1470,1.58,0.9,2.48,1.39,2.29,1.62,1.06,2.69,1.42,2.48
52,Liverpool,eng Premier League,24,28,57.8,34,374,3060,34,79,59,138,70,9,9,62,2,74.4,67.5,54.7,122.1,741,1711,2.32,1.74,4.06,2.06,3.79,2.19,1.61,3.8,1.98,3.59
53,Lyon,fr Ligue 1,29,28.2,56.2,31,341,2790,31,59,44,103,52,7,9,53,0,54.9,47.9,40.2,88.1,605,1450,1.9,1.42,3.32,1.68,3.1,1.77,1.3,3.07,1.55,2.84
54,Mainz 05,de Bundesliga,24,28.2,49.8,31,341,2790,31,46,33,79,43,3,3,68,5,44.1,41.8,34.3,76.2,421,1162,1.48,1.06,2.55,1.39,2.45,1.42,1.11,2.53,1.35,2.46
55,Mallorca,es La Liga,28,29.5,46.1,33,363,2970,33,30,21,51,26,4,5,70,6,35.8,31.8,24.6,56.5,417,1015,0.91,0.64,1.55,0.79,1.42,1.08,0.75,1.83,0.97,1.71
56,Manchester City,eng Premier League,29,27.5,61.4,34,374,3060,34,65,47,112,63,2,3,58,1,61.2,58.7,49.2,107.9,1015,1710,1.91,1.38,3.29,1.85,3.24,1.8,1.45,3.24,1.73,3.17
57,Manchester Utd,eng Premier League,31,26.3,53.2,34,374,3060,34,37,25,62,34,3,3,76,3,45.7,43.4,34.4,77.8,612,1267,1.09,0.74,1.82,1,1.74,1.34,1.01,2.36,1.28,2.29
58,Marseille,fr Ligue 1,32,27.5,63.9,31,341,2790,31,62,43,105,55,7,8,57,6,56,49.6,39.6,89.2,622,1576,2,1.39,3.39,1.77,3.16,1.81,1.28,3.08,1.6,2.88
59,Milan,it Serie A,34,26.4,54.1,34,374,3060,34,52,38,90,48,4,8,61,5,58.2,52,42.1,94.1,851,1464,1.53,1.12,2.65,1.41,2.53,1.71,1.24,2.95,1.53,2.77
60,Monaco,fr Ligue 1,28,25.1,55.6,31,341,2790,31,58,44,102,52,6,7,57,3,69.2,64.1,52.1,116.1,623,1537,1.87,1.42,3.29,1.68,3.1,2.23,1.68,3.91,2.07,3.75
61,Montpellier,fr Ligue 1,35,27.1,45.7,30,330,2790,31,22,12,34,19,3,4,82,7,31.6,28.5,21.5,50.1,484,960,0.71,0.39,1.1,0.61,1,1.02,0.69,1.71,0.92,1.62
62,Monza,it Serie A,35,27.6,48.2,34,374,3060,34,24,16,40,21,3,3,85,3,26.1,23.9,18.2,42.2,474,987,0.71,0.47,1.18,0.62,1.09,0.77,0.54,1.3,0.7,1.24
63,Nantes,fr Ligue 1,30,27.4,39.7,31,341,2790,31,35,25,60,31,4,4,65,4,35.5,32.4,25.4,57.8,445,969,1.13,0.81,1.94,1,1.81,1.14,0.82,1.96,1.04,1.87
64,Napoli,it Serie A,27,29.4,53.6,34,374,3060,34,51,38,89,47,4,5,42,0,47.9,44.1,35.3,79.4,658,1389,1.5,1.12,2.62,1.38,2.5,1.41,1.04,2.45,1.3,2.34
65,Newcastle Utd,eng Premier League,24,28.1,51.1,34,374,3060,34,63,48,111,59,4,5,59,1,57.8,54.2,42.2,96.4,669,1407,1.85,1.41,3.26,1.74,3.15,1.7,1.24,2.94,1.59,2.84
66,Nice,fr Ligue 1,31,27.2,47.3,31,341,2790,31,55,39,94,50,5,5,56,5,54.2,50.3,38.7,89,642,1201,1.77,1.26,3.03,1.61,2.87,1.75,1.25,3,1.62,2.87
67,Nott'ham Forest,eng Premier League,23,26.9,40.3,34,374,3060,34,52,38,90,49,3,3,74,2,40.4,38,29.9,67.9,564,974,1.53,1.12,2.65,1.44,2.56,1.19,0.88,2.07,1.12,2
68,Osasuna,es La Liga,25,28.2,46,33,363,2970,33,38,21,59,30,8,8,81,0,37.4,31.8,24.2,56,486,1046,1.15,0.64,1.79,0.91,1.55,1.13,0.73,1.87,0.96,1.7
69,Paris S-G,fr Ligue 1,25,24.5,68.2,31,341,2790,31,81,62,143,76,5,5,33,0,82.3,78.4,66.3,144.7,862,1941,2.61,2,4.61,2.45,4.45,2.66,2.14,4.79,2.53,4.67
70,Parma,it Serie A,32,24.6,44.4,34,374,3060,34,39,28,67,33,6,7,72,5,38.1,32.6,25.3,57.9,536,964,1.15,0.82,1.97,0.97,1.79,1.12,0.74,1.86,0.96,1.7
71,Rayo Vallecano,es La Liga,26,29.9,51.5,33,363,2970,33,32,24,56,32,0,1,84,3,38.5,37.6,30.7,68.3,514,1191,0.97,0.73,1.7,0.97,1.7,1.17,0.93,2.09,1.14,2.07
72,RB Leipzig,de Bundesliga,29,26.2,53,31,341,2790,31,46,32,78,43,3,4,61,5,42.6,39.4,32.6,72,463,1236,1.48,1.03,2.52,1.39,2.42,1.37,1.05,2.42,1.27,2.32
73,Real Madrid,es La Liga,27,27.5,60.8,33,363,2970,33,66,45,111,57,9,12,51,4,63.2,54.1,45.1,99.2,849,1706,2,1.36,3.36,1.73,3.09,1.92,1.37,3.28,1.64,3.01
74,Real Sociedad,es La Liga,31,25.9,54.3,33,363,2970,33,31,20,51,28,3,3,79,4,36.4,34.1,27.3,61.4,571,1173,0.94,0.61,1.55,0.85,1.45,1.1,0.83,1.93,1.03,1.86
75,Reims,fr Ligue 1,34,25.4,44.6,31,341,2790,31,31,18,49,30,1,2,62,6,34.2,32.6,23.5,56.2,544,1065,1,0.58,1.58,0.97,1.55,1.1,0.76,1.86,1.05,1.81
76,Rennes,fr Ligue 1,35,25.9,50.9,31,341,2790,31,46,27,73,41,5,8,61,2,44.2,38.3,25.6,63.9,603,1332,1.48,0.87,2.35,1.32,2.19,1.43,0.82,2.25,1.24,2.06
77,Roma,it Serie A,28,27.3,54.6,34,374,3060,34,48,30,78,41,7,7,60,1,48.6,43.1,32.5,75.7,616,1338,1.41,0.88,2.29,1.21,2.09,1.43,0.96,2.39,1.27,2.23
78,Saint-Étienne,fr Ligue 1,32,26.5,46.2,30,330,2790,31,32,23,55,29,3,4,59,2,33.8,30.6,22.7,53.3,481,1104,1.03,0.74,1.77,0.94,1.68,1.09,0.73,1.82,0.99,1.72
79,Sevilla,es La Liga,35,26.8,50.9,33,363,2970,33,32,27,59,31,1,2,85,6,34.4,32.9,25.4,58.2,505,993,0.97,0.82,1.79,0.94,1.76,1.04,0.77,1.81,1,1.76
80,Southampton,eng Premier League,35,26.1,49.3,34,374,3060,34,24,15,39,24,0,2,83,3,30.2,28.5,23,51.5,600,1041,0.71,0.44,1.15,0.71,1.15,0.89,0.68,1.57,0.84,1.52
81,St. Pauli,de Bundesliga,27,27.7,44.7,31,341,2790,31,24,21,45,23,1,2,45,2,33.3,31.7,25.2,56.9,383,1005,0.77,0.68,1.45,0.74,1.42,1.07,0.81,1.89,1.02,1.83
82,Strasbourg,fr Ligue 1,30,22.2,49.9,31,341,2790,31,50,40,90,48,2,2,65,2,45.9,44.3,35.9,80.3,505,1077,1.61,1.29,2.9,1.55,2.84,1.48,1.16,2.64,1.43,2.59
83,Stuttgart,de Bundesliga,28,25.6,56.6,31,341,2790,31,53,40,93,51,2,5,68,5,53.2,49.3,38.9,88.2,492,1352,1.71,1.29,3,1.65,2.94,1.72,1.25,2.97,1.59,2.84
84,Torino,it Serie A,29,27.5,47.2,34,374,3060,34,35,21,56,34,1,3,76,3,30,27.7,19.4,47.2,459,977,1.03,0.62,1.65,1,1.62,0.88,0.57,1.45,0.82,1.39
85,Tottenham,eng Premier League,31,25.9,56.4,34,374,3060,34,59,46,105,57,2,3,64,1,54.8,52.4,41.4,93.8,783,1519,1.74,1.35,3.09,1.68,3.03,1.61,1.22,2.83,1.54,2.76
86,Toulouse,fr Ligue 1,27,25.9,45.4,31,341,2790,31,36,28,64,33,3,4,48,3,44.2,41,30.3,71.3,487,1132,1.16,0.9,2.06,1.06,1.97,1.42,0.98,2.4,1.32,2.3
87,Udinese,it Serie A,30,27.1,47.3,34,374,3060,34,36,24,60,34,2,4,78,4,33.4,30.2,23.5,53.7,515,1030,1.06,0.71,1.76,1,1.71,0.98,0.69,1.67,0.89,1.58
88,Union Berlin,de Bundesliga,28,27.9,39.7,31,341,2790,31,32,22,54,29,3,3,68,1,34.3,31.9,22.3,54.2,355,938,1.03,0.71,1.74,0.94,1.65,1.11,0.72,1.83,1.03,1.75
89,Valencia,es La Liga,32,25.4,47.5,33,363,2970,33,37,25,62,34,3,3,73,1,37.1,34.7,26.8,61.5,498,1187,1.12,0.76,1.88,1.03,1.79,1.12,0.81,1.94,1.05,1.86
90,Valladolid,es La Liga,35,26.4,43.2,33,363,2970,33,24,13,37,19,5,5,86,5,29.2,25.4,20.6,46,415,868,0.73,0.39,1.12,0.58,0.97,0.89,0.63,1.51,0.77,1.39
91,Venezia,it Serie A,36,26.2,45.1,34,374,3060,34,26,13,39,22,4,5,72,2,31.8,28,19.3,47.3,448,944,0.76,0.38,1.15,0.65,1.03,0.94,0.57,1.5,0.82,1.39
92,Villarreal,es La Liga,30,27.6,48.5,33,363,2970,33,54,37,91,49,5,7,88,4,56.2,50.5,41.7,92.3,614,1358,1.64,1.12,2.76,1.48,2.61,1.7,1.26,2.97,1.53,2.8
93,Werder Bremen,de Bundesliga,23,28.3,49.5,31,341,2790,31,47,35,82,45,2,4,69,4,43.3,40.7,33.6,74.2,443,1218,1.52,1.13,2.65,1.45,2.58,1.4,1.08,2.48,1.31,2.39
94,West Ham,eng Premier League,27,28.8,47.6,34,374,3060,34,36,23,59,33,3,3,72,3,42.2,40,30.5,70.4,559,1092,1.06,0.68,1.74,0.97,1.65,1.24,0.9,2.14,1.18,2.07
95,Wolfsburg,de Bundesliga,27,25.9,46,31,341,2790,31,51,36,87,47,4,5,74,3,44.2,40.1,30,70,435,1104,1.65,1.16,2.81,1.52,2.68,1.42,0.97,2.39,1.29,2.26
96,Wolves,eng Premier League,30,27.6,47.6,34,374,3060,34,50,39,89,50,0,0,74,2,40,40,32.3,72.3,537,1041,1.47,1.15,2.62,1.47,2.62,1.18,0.95,2.13,1.18,2.13
